State,City,Region
15,194,2
3,266,3
8,153,2
31,96,2
45,452,3
41,154,0
47,272,0
42,513,3
3,438,3
25,158,0
36,374,1
42,351,3
41,207,0
41,406,0
11,321,0
8,288,2
21,129,0
20,516,0
6,124,1
12,324,0
30,329,1
30,488,1
11,80,0
1,166,3
44,464,2
20,215,0
40,289,2
0,116,2
31,128,2
38,93,2
21,410,0
21,300,0
35,389,3
21,427,0
4,24,3
31,74,2
11,352,0
13,494,0
33,94,1
40,51,2
6,521,1
11,41,0
1,375,3
3,418,3
23,210,0
3,364,3
33,330,1
47,156,0
1,451,3
3,440,3
34,134,0
29,65,3
41,434,0
11,116,0
16,308,2
5,147,1
41,172,0
3,399,3
33,187,1
28,515,1
33,2,1
4,120,3
41,109,0
40,156,2
3,519,3
20,423,0
33,287,1
33,126,1
20,123,0
40,93,2
8,473,2
3,448,3
21,239,0
3,437,3
41,364,0
3,49,3
31,73,2
28,314,1
33,83,1
3,212,3
8,472,2
4,92,3
28,35,1
20,474,0
28,240,1
44,16,2
4,18,3
28,184,1
8,429,2
3,262,3
3,196,3
40,317,2
42,249,3
41,25,0
19,269,1
9,94,2
5,274,1
41,189,0
1,489,3
11,393,0
19,156,1
8,369,2
45,121,3
11,371,0
26,245,3
37,504,1
8,295,2
31,521,2
3,208,3
15,407,2
4,267,3
19,247,1
22,215,2
20,64,0
30,328,1
31,164,2
8,216,2
12,94,0
30,23,1
34,336,0
3,96,3
11,361,0
41,8,0
30,257,1
41,209,0
30,410,1
2,150,2
3,104,3
4,362,3
9,21,2
23,167,0
24,175,3
8,238,2
0,310,2
1,293,3
47,177,0
33,464,1
3,9,3
45,283,3
35,430,3
41,243,0
33,182,1
20,114,0
9,503,2
3,497,3
3,303,3
20,411,0
28,378,1
1,455,3
45,498,3
11,24,0
41,16,0
15,267,2
33,86,1
41,493,0
31,60,2
44,511,2
36,78,1
31,68,2
8,360,2
30,316,1
8,197,2
30,343,1
11,145,0
20,487,0
21,105,0
16,45,2
13,121,0
3,241,3
44,407,2
31,19,2
3,236,3
25,348,0
45,135,3
3,446,3
47,299,0
15,151,2
33,265,1
28,256,1
3,431,3
28,326,1
36,241,1
27,96,1
18,93,1
41,163,0
5,340,1
44,4,2
33,485,1
29,149,3
3,409,3
3,486,3
41,420,0
3,343,3
8,42,2
44,500,2
3,319,3
31,216,2
13,60,0
45,347,3
7,505,1
23,218,0
23,428,0
11,413,0
41,54,0
30,527,1
3,342,3
31,308,2
18,88,1
3,141,3
9,419,2
2,220,2
12,407,0
3,12,3
8,204,2
12,231,0
20,242,0
33,108,1
26,403,3
44,190,2
3,143,3
20,421,0
18,414,1
8,102,2
30,56,1
8,47,2
22,183,2
3,159,3
31,179,2
30,262,1
0,151,2
9,271,2
13,70,0
37,390,1
4,392,3
3,147,3
8,119,2
15,318,2
5,296,1
30,157,1
3,376,3
42,391,3
42,381,3
9,458,2
44,430,2
33,363,1
0,306,2
19,325,1
41,214,0
28,499,1
1,168,3
30,332,1
31,480,2
3,517,3
40,215,2
41,100,0
3,383,3
26,338,3
36,6,1
6,330,1
1,476,3
3,234,3
28,50,1
19,146,1
30,508,1
47,15,0
45,36,3
41,5,0
41,137,0
41,174,0
41,67,0
40,458,2
45,225,3
16,233,2
35,483,3
11,457,0
41,379,0
44,467,2
12,211,0
28,31,1
31,150,2
31,178,2
18,28,1
47,224,0
14,346,0
45,23,3
34,490,0
35,400,3
31,394,2
34,320,0
5,291,1
15,46,2
12,459,0
5,51,1
26,194,3
45,462,3
41,222,0
33,147,1
8,386,2
35,286,3
44,75,2
24,304,3
38,151,2
35,464,3
8,13,2
36,397,1
4,53,3
23,464,0
28,367,1
34,345,0
44,77,2
41,270,0
23,93,0
40,219,2
0,23,2
3,435,3
19,253,1
24,48,3
1,371,3
33,240,1
28,372,1
3,349,3
3,395,3
21,311,0
41,294,0
3,466,3
8,354,2
3,469,3
27,124,1
36,528,1
41,91,0
23,426,0
19,393,1
3,277,3
33,225,1
41,433,0
42,432,3
0,209,2
40,228,2
2,258,2
20,255,0
33,281,1
4,259,3
43,60,1
17,29,1
22,460,2
12,327,0
20,297,0
39,456,0
4,152,3
12,233,0
40,85,2
3,422,3
3,482,3
19,273,1
19,203,1
29,3,3
26,461,3
3,90,3
11,139,0
28,366,1
38,337,2
44,331,2
30,217,1
12,302,0
33,46,1
3,232,3
8,471,2
40,323,2
45,37,3
11,525,0
41,186,0
11,518,0
38,468,2
2,206,2
4,142,3
33,241,1
29,244,3
0,205,2
41,160,0
3,496,3
42,318,3
47,509,0
3,27,3
8,384,2
33,488,1
41,103,0
3,401,3
8,353,2
28,350,1
16,235,2
11,199,0
30,193,1
12,333,0
21,14,0
38,315,2
20,465,0
47,132,0
41,373,0
24,40,3
35,181,3
40,76,2
10,292,3
3,14,3
11,44,0
21,278,0
3,524,3
41,305,0
41,368,0
3,443,3
20,173,0
3,501,3
14,356,0
3,475,3
3,529,3
19,405,1
41,97,0
11,484,0
13,127,0
20,115,0
29,449,3
31,198,2
11,66,0
21,425,0
8,339,2
12,247,0
8,380,2
8,387,2
38,412,2
41,344,0
47,512,0
3,82,3
14,275,0
36,7,1
4,481,3
11,71,0
12,41,0
2,477,2
41,133,0
41,32,0
12,180,0
3,240,3
37,526,1
47,470,0
41,34,0
45,106,3
34,52,0
8,301,2
8,202,2
41,117,0
14,520,0
41,285,0
13,213,0
10,43,3
37,107,1
11,157,0
41,385,0
3,84,3
41,479,0
45,400,3
8,113,2
1,58,3
12,388,0
32,148,0
12,138,0
3,439,3
8,279,2
9,444,2
33,290,1
34,248,0
44,188,2
30,416,1
47,229,0
10,254,3
22,191,2
3,111,3
20,315,0
42,261,3
5,506,1
9,20,2
17,254,1
11,111,0
1,26,3
9,280,2
1,530,3
47,510,0
45,365,3
11,341,0
8,370,2
41,250,0
18,161,1
42,252,3
0,491,2
3,312,3
15,165,2
4,268,3
1,72,3
24,192,3
23,226,0
41,502,0
20,418,0
11,155,0
36,38,1
21,418,0
25,171,0
21,523,0
20,341,0
2,415,2
29,89,3
8,221,2
3,447,3
41,69,0
25,334,0
42,125,3
20,11,0
3,230,3
10,382,3
20,201,0
5,298,1
11,57,0
3,237,3
3,398,3
3,81,3
30,495,1
2,98,2
48,79,3
15,357,2
10,61,3
16,223,2
27,322,1
40,30,2
3,402,3
40,251,2
3,450,3
11,122,0
45,264,3
40,195,2
13,507,0
19,63,1
11,359,0
19,39,1
35,144,3
3,358,3
45,404,3
11,169,0
8,118,2
4,95,3
41,478,0
31,522,2
29,408,3
31,170,2
45,146,3
3,309,3
3,136,3
41,33,0
8,514,2
41,1,0
11,335,0
23,424,0
11,424,0
3,62,3
35,200,3
3,59,3
3,307,3
14,162,0
28,22,1
4,263,3
3,112,3
46,518,1
3,313,3
28,87,1
47,453,0
9,131,2
39,396,0
19,10,1
8,227,2
5,454,1
5,110,1
13,281,0
8,445,2
41,442,0
4,176,3
41,276,0
33,140,1
10,492,3
8,101,2
11,417,0
19,282,1
18,246,1
41,55,0
2,377,2
39,0,0
18,185,1
28,130,1
11,17,0
11,355,0
21,99,0
3,436,3
3,126,3
3,441,3
2,463,2
3,260,3
41,231,0
33,284,1
9,525,2
