Category,Sub_Category,Region,Record_Count,Total_Quantity,Avg_Daily_Demand,Std_Daily_Demand,Safety_Stock,Peak_Safety_Stock,Reorder_Point,Total_Predicted,Total_Actual,Avg_Predicted_Sales,Avg_Actual_Sales,Peak_Predicted,Overstock_Risk,Overstock_Pct,Stockout_Risk,Stockout_Pct,Alert_Level,Avg_Discount_Pct,Avg_Profit_Margin,Lead_Time_Days,Service_Level_Pct,Generated_At
Furniture,Tables,East,80,271,68.2758,35.8317,156.4229,234.6343,634.3536,38234.46,39139.81,477.93,489.25,1159.05,MEDIUM,36.2,HIGH,42.5,CRITICAL,37.37,-28.17,7,95,2026-08-06 20:54:17
Office Supplies,Appliances,Central,123,470,33.4759,44.2573,193.2046,289.8069,427.5358,28822.74,23582.03,234.33,191.72,1509.21,HIGH,55.3,HIGH,56.9,CRITICAL,44.88,-11.19,7,95,2026-08-06 20:54:17
Office Supplies,Binders,Central,366,1473,25.9381,95.0092,414.7618,622.1427,596.3286,66453.43,56923.28,181.57,155.53,8097.91,HIGH,56.8,HIGH,57.4,CRITICAL,50.93,-1.83,7,95,2026-08-06 20:54:17
Office Supplies,Binders,East,440,1652,21.5546,69.2529,302.323,453.4845,453.2053,66388.2,53498.0,150.88,121.59,4633.28,HIGH,41.6,HIGH,44.1,CRITICAL,35.34,21.06,7,95,2026-08-06 20:54:17
Office Supplies,Binders,South,246,981,26.4885,86.1025,375.8797,563.8196,561.2995,45613.25,37030.34,185.42,150.53,5478.23,HIGH,42.3,HIGH,44.7,CRITICAL,37.56,10.53,7,95,2026-08-06 20:54:17
Office Supplies,Fasteners,Central,55,227,4.1593,18.0164,78.6505,117.9758,107.7654,1601.32,778.03,29.11,14.15,432.88,HIGH,47.3,HIGH,49.1,CRITICAL,13.45,30.41,7,95,2026-08-06 20:54:17
Office Supplies,Fasteners,East,61,298,10.0799,21.2307,92.6825,139.0238,163.2419,4304.12,819.72,70.56,13.44,555.64,HIGH,60.7,HIGH,60.7,CRITICAL,9.18,32.21,7,95,2026-08-06 20:54:17
Office Supplies,Fasteners,South,29,126,5.4688,16.9851,74.1482,111.2222,112.43,1110.17,503.32,38.28,17.36,398.46,HIGH,44.8,HIGH,44.8,CRITICAL,8.28,34.51,7,95,2026-08-06 20:54:17
Office Supplies,Labels,Central,76,284,4.9103,18.8155,82.1391,123.2086,116.5109,2612.26,2451.47,34.37,32.26,475.35,HIGH,42.1,HIGH,44.7,CRITICAL,11.32,43.77,7,95,2026-08-06 20:54:17
Office Supplies,Labels,East,107,420,4.8299,17.3538,75.758,113.637,109.5673,3617.59,2602.93,33.81,24.33,415.71,MEDIUM,39.3,HIGH,41.1,CRITICAL,6.73,43.38,7,95,2026-08-06 20:54:17
Office Supplies,Labels,West,116,480,7.3573,22.9197,100.0558,150.0837,151.5568,5974.11,5078.73,51.5,43.78,702.04,HIGH,40.5,HIGH,40.5,CRITICAL,1.9,45.35,7,95,2026-08-06 20:54:17
Office Supplies,Supplies,West,69,238,35.6702,139.6017,609.4298,914.1447,859.1213,17228.71,18127.12,249.69,262.71,5703.13,MEDIUM,39.1,HIGH,42.0,CRITICAL,3.77,3.45,7,95,2026-08-06 20:54:17
Technology,Copiers,Central,16,49,344.7901,484.7323,2116.094,3174.141,4529.6247,38616.49,37259.57,2413.53,2328.72,14867.75,HIGH,50.0,HIGH,50.0,CRITICAL,11.25,41.89,7,95,2026-08-06 20:54:17
Technology,Copiers,East,20,71,399.8274,509.471,2224.0903,3336.1355,5022.8822,55975.84,53219.46,2798.79,2660.97,13548.93,HIGH,40.0,HIGH,45.0,CRITICAL,25.0,31.99,7,95,2026-08-06 20:54:17
Technology,Copiers,South,7,26,215.7613,107.7967,470.5852,705.8778,1980.9143,10572.3,9299.76,1510.33,1328.54,2589.41,HIGH,42.9,HIGH,42.9,CRITICAL,8.57,39.34,7,95,2026-08-06 20:54:17
Furniture,Bookcases,Central,50,192,61.8078,42.857,187.092,280.638,619.7465,21632.73,24157.18,432.65,483.14,1935.8,MEDIUM,20.0,MEDIUM,22.0,WARNING,23.28,-8.27,7,95,2026-08-06 20:54:17
Furniture,Bookcases,East,70,252,79.0812,80.0234,349.3415,524.0123,902.9101,38749.8,43819.33,553.57,625.99,3408.73,MEDIUM,27.1,MEDIUM,28.6,WARNING,22.0,-2.66,7,95,2026-08-06 20:54:17
Furniture,Bookcases,South,28,118,52.0525,30.3906,132.6698,199.0047,497.0372,10202.29,10899.36,364.37,389.26,1020.62,MEDIUM,21.4,MEDIUM,21.4,WARNING,10.0,12.29,7,95,2026-08-06 20:54:17
Furniture,Bookcases,West,80,306,61.1583,55.7046,243.178,364.7671,671.286,34248.64,36004.12,428.11,450.05,2476.88,MEDIUM,25.0,MEDIUM,33.8,WARNING,22.87,-4.57,7,95,2026-08-06 20:54:17
Furniture,Chairs,Central,154,615,71.0372,57.2455,249.9045,374.8568,747.1652,76578.14,85230.65,497.26,553.45,2678.77,LOW,16.9,MEDIUM,21.4,WARNING,19.29,7.74,7,95,2026-08-06 20:54:17
Furniture,Chairs,East,168,676,72.3401,54.9426,239.8515,359.7773,746.2325,85072.0,96260.68,506.38,572.98,2407.51,MEDIUM,21.4,MEDIUM,25.6,WARNING,15.06,9.72,7,95,2026-08-06 20:54:17
Furniture,Chairs,South,88,331,74.521,55.2886,241.3619,362.0429,763.0088,45904.92,45176.45,521.65,513.37,1960.02,MEDIUM,26.1,MEDIUM,28.4,WARNING,9.77,14.64,7,95,2026-08-06 20:54:17
Furniture,Chairs,West,207,734,69.3737,51.8462,226.3341,339.5012,711.9503,100522.55,101781.33,485.62,491.7,1957.27,MEDIUM,20.8,MEDIUM,22.7,WARNING,20.0,3.96,7,95,2026-08-06 20:54:17
Furniture,Furnishings,Central,205,758,11.8469,20.8633,91.0785,136.6178,174.0068,17000.3,15254.37,82.93,74.41,1007.6,MEDIUM,34.1,MEDIUM,34.6,WARNING,40.39,-25.61,7,95,2026-08-06 20:54:17
Furniture,Furnishings,East,283,1015,14.8509,24.1099,105.2517,157.8775,209.2082,29419.69,29071.38,103.96,102.73,877.74,MEDIUM,26.9,MEDIUM,30.0,WARNING,7.77,20.23,7,95,2026-08-06 20:54:17
Furniture,Furnishings,South,165,615,15.5107,24.3463,106.2834,159.425,214.8583,17914.87,17306.68,108.57,104.89,803.07,MEDIUM,30.9,MEDIUM,33.3,WARNING,10.67,19.89,7,95,2026-08-06 20:54:17
